start_index_frame,end_index_frame,duration_frames,unique_name,start_time,end_time
50.0,75.0,2,ID0-fromFrame50.0_toFrame75.0,2.0,3.0
100.0,100.0,1,ID2-fromFrame100.0_toFrame100.0,4.0,4.0
100.0,100.0,1,ID3-fromFrame100.0_toFrame100.0,4.0,4.0
100.0,125.0,2,ID1-fromFrame100.0_toFrame125.0,4.0,5.0
125.0,150.0,2,ID5-fromFrame125.0_toFrame150.0,5.0,6.0
150.0,150.0,1,ID6-fromFrame150.0_toFrame150.0,6.0,6.0
175.0,175.0,1,ID7-fromFrame175.0_toFrame175.0,7.0,7.0
125.0,200.0,4,ID4-fromFrame125.0_toFrame200.0,5.0,8.0
200.0,200.0,1,ID8-fromFrame200.0_toFrame200.0,8.0,8.0
200.0,200.0,1,ID9-fromFrame200.0_toFrame200.0,8.0,8.0
200.0,200.0,1,ID10-fromFrame200.0_toFrame200.0,8.0,8.0
250.0,275.0,2,ID11-fromFrame250.0_toFrame275.0,10.0,11.0
275.0,275.0,1,ID12-fromFrame275.0_toFrame275.0,11.0,11.0
275.0,275.0,1,ID13-fromFrame275.0_toFrame275.0,11.0,11.0
325.0,325.0,1,ID14-fromFrame325.0_toFrame325.0,13.0,13.0
325.0,325.0,1,ID15-fromFrame325.0_toFrame325.0,13.0,13.0
375.0,375.0,1,ID16-fromFrame375.0_toFrame375.0,15.0,15.0
400.0,425.0,2,ID17-fromFrame400.0_toFrame425.0,16.0,17.0
475.0,475.0,1,ID18-fromFrame475.0_toFrame475.0,19.0,19.0
475.0,475.0,1,ID19-fromFrame475.0_toFrame475.0,19.0,19.0
475.0,475.0,1,ID20-fromFrame475.0_toFrame475.0,19.0,19.0
475.0,475.0,1,ID21-fromFrame475.0_toFrame475.0,19.0,19.0
525.0,575.0,3,ID22-fromFrame525.0_toFrame575.0,21.0,23.0
575.0,600.0,2,ID23-fromFrame575.0_toFrame600.0,23.0,24.0
575.0,600.0,2,ID24-fromFrame575.0_toFrame600.0,23.0,24.0
600.0,600.0,1,ID25-fromFrame600.0_toFrame600.0,24.0,24.0
675.0,675.0,1,ID26-fromFrame675.0_toFrame675.0,27.0,27.0
